1,7.8
3,9.4
5,11
7,12.6
9,14.2
11,15.8
13,17.4
15,19
17,20.6
19,22.2
21,23.8
23,25.4
25,27
27,28.6
29,30.2
31,31.8
33,33.4
35,35
37,36.6
39,38.2
41,39.8
43,41.4
45,43
47,44.6
49,46.2
51,47.8
53,49.4
55,51
57,52.6
59,54.2
61,55.8
63,57.4
65,59
67,60.6
69,62.2
71,63.8
73,65.4
75,67
77,68.6
79,70.2
81,71.8
83,73.4
85,75
87,76.6
89,78.2
91,79.8
93,81.4
95,83
97,84.6
99,86.2
101,87.8
103,89.4
105,91
107,92.6
109,94.2
111,95.8
113,97.4
115,99
117,100.6
119,102.2
121,103.8
123,105.4
125,107
127,108.6
129,110.2
131,111.8
133,113.4
135,115
137,116.6
139,118.2
141,119.8
143,121.4
145,123
147,124.6
149,126.2
151,127.8
153,129.4
155,131
157,132.6
159,134.2
161,135.8
163,137.4
165,139
167,140.6
169,142.2
171,143.8
173,145.4
175,147
177,148.6
179,150.2
181,151.8
183,153.4
185,155
187,156.6
189,158.2
191,159.8
193,161.4
195,163
197,164.6
199,166.2

